rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,contact_force,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
40,0,40,0,2024-11-18_17:37:13.707259,,,,83.18987380061299,84.72364670038223,None,None,34.6,8.5,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
41,0,41,0,2024-11-18_17:37:15.708417,,,,85.18970570061356,86.72588860057294,None,None,34.5,3.2,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
42,0,42,0,2024-11-18_17:37:17.711682,,,,87.19155120011419,88.72468189988285,None,None,34.4,4.8,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
43,0,43,0,2024-11-18_17:37:19.713188,,,,89.19022050034255,90.72454049997032,None,None,34.300000000000004,2.3,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
44,0,44,0,2024-11-18_17:37:21.713616,,,,91.19035270065069,92.72364090010524,None,None,34.2,3.1,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
45,0,45,0,2024-11-18_17:37:23.707023,,,,93.18810120038688,94.7248956002295,None,None,34.0,1.9,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
46,0,46,0,2024-11-18_17:37:25.710720,,,,95.1902934005484,96.72303550038487,None,None,34.0,1.3,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
47,0,47,0,2024-11-18_17:37:27.710087,,,,97.18833430018276,98.72367530036718,None,None,33.9,1.8,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
48,0,48,0,2024-11-18_17:37:29.716996,,,,99.18925570044667,100.72327180020511,None,None,33.800000000000004,2.9,None,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
49,0,49,0,2024-11-18_17:37:31.708180,,,,101.18859610054642,102.71954700071365,None,None,33.800000000000004,2.4,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
50,0,50,0,2024-11-18_17:37:33.708246,,,,103.18567270040512,104.72161090001464,None,None,33.7,1.1,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
51,0,51,0,2024-11-18_17:37:35.706715,,,,105.18551700003445,106.72079480066895,None,None,33.7,1.4,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
52,0,52,0,2024-11-18_17:37:37.714421,,,,107.18694370053709,108.72059850022197,None,None,33.7,1.5,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
53,0,53,0,2024-11-18_17:37:39.712644,,,,109.18672800064087,110.72191070020199,None,None,33.6,1.8,0.0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
